Id,Model,Brand,HorsePower,Doors,Fuel,Colors
3f1c2a6e-9d3b-4a2f-8c91-1a7d2f4c9b11,Golf 8,Volkswagen,150,5,Petrol,Blue;Black;White
7a9d4c2b-1f5e-4d88-9c3a-6b2e8f1a0d44,Civic,Honda,182,5,Petrol,Red;Black;Grey
b2d8f1c3-4a7e-4c91-9f2b-8d1a3c5e7f22,Model 3,Tesla,283,4,Electric,White;Black;Red
c9f1a2b3-8d4e-4c11-9a2f-7b6d5e3c1a90,3 Series,BMW,190,4,Diesel,Black;Grey;White
a1b2c3d4-5e6f-4789-9abc-1234567890ab,A4,Audi,204,4,Petrol,White;Black;Blue
d4e5f6a7-b8c9-4d10-8e11-abcdef123456,Corolla,Toyota,140,5,Hybrid,Silver;White;Black
e1f2a3b4-c5d6-4e78-9f01-23456789abcd,Focus,Ford,125,5,Petrol,Blue;Grey;Red
f0a1b2c3-d4e5-4f67-8a90-112233445566,Clio,Renault,100,5,Petrol,Red;White;Yellow
9a8b7c6d-5e4f-4a3b-9c2d-1e0f9a8b7c6d,208,Peugeot,136,5,Diesel,Blue;White;Black
6b7c8d9e-0f1a-4b2c-8d3e-5f6a7b8c9d0e,Impreza,Subaru,156,5,Petrol,Blue;Black;Silver
